authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand,hour,day
617,dindaspallspill_,3,2,2025-08-04 08:47:16+00:00,30,False,Jakarta,"Kopi Janji Jiwa, Jiwa Toast & Jiwa Tea - Citra 6",3,Sekarang jangan khawatir dompet boncos karna tiap hari beli coffee. Karna dengan beli voucher di tag lokasi bisa lebih hematt 🤩 #janjijiwa #coffee #tigerwonggo ,32,https://www.tiktok.com/@dindaspallspill_/video/7534649223262850360,1545,Janji Jiwa,8,Monday
178,becksmassie06,1,0,2023-08-30 10:38:10+00:00,21,False,Jakarta,"Sunter, Jakarta",11,📍Janji Jiwa X - Sunter #fyp #fypシ゚viral #fypage #foryourpage #jakartahits #coffeeshopsunter #coffeehopping #coffeeshopjakut #jakartautara #coffeeshopjakarta ,24,https://www.tiktok.com/@becksmassie06/video/7273062775121775878,3134,Janji Jiwa,10,Wednesday
6283,ignangilawane,13,4,2025-07-07 13:13:55+00:00,136,False,Surabaya,Kopi Janji Jiwa & Jiwa Toast - Kanna Stay,11,"Cuma 50rb sudah bisa dapat menu sebanyak ini di Janji Jiwa 🤫

#tiktokgoschoolhollydayfest #janjijiwa #jajanantiktok #jajananviral #jajanmurah #janjijiwacoffee #fyp #fypシ ",28,https://www.tiktok.com/@ignangilawane/video/7524327558570282245,9531,Janji Jiwa,13,Monday
6168,tikaa.chandra,4,0,2025-03-20 08:36:26+00:00,31,False,Cirebon City,Kopi Janji Jiwa & Jiwa Toast - Grage Mall Cirebon,3,Janji jiwa #janjijiwa #janjijiwacoffee #janjijiwapromo #janjijiwatoast #kuliner #wisatakuliner #kulinertiktok #kulinerindonesia #fyp #foryou #foryoupage ,19,https://www.tiktok.com/@tikaa.chandra/video/7483807777098337554,7833,Janji Jiwa,8,Thursday
1491,aabidazka,0,2,2025-07-27 12:10:31+00:00,5,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Joglo,25,"Para pencinta kopi wajib tau ini di Janji jiwa outlet joglo lagi banyak promo loh, beli vouchernya lewat tiktok 😍
ayo buruan serbu promo makan gajian nya diskon up to 60℅ ya 😍 jangan sampai kelewatan ! 
#janjijiwa #kopi #coffee #coffeetiktok #coffeeshopjakarta #joglo #jakarta #jelajahbegah #promomakanliburan #promo #promomakangajian #promoseruweekend #jakartabarat #foryou #fyp ",21,https://www.tiktok.com/@aabidazka/video/7531732936404585746,210,Janji Jiwa,12,Sunday
20200,miryoku.store,14,11,2025-04-09 08:41:45+00:00,112,False,Tegal City,Kopi Janji Jiwa & Jiwa Toast - Pangeran Diponegoro,14,Kopi JanjiJiwa Kota tegal #janjijiwa #coffeshoptegal #ngopiditegal #tiktokgo #cuantanpabatas ,22,https://www.tiktok.com/@miryoku.store/video/7491230838114372869,12800,Janji Jiwa,8,Wednesday
59800,bangpuzut,10,1,2025-03-18 21:59:38+00:00,78,False,Bandung City,Kopi Janji Jiwa & Jiwa Toast - Ruko Summarecon Bandung,9,Yang udah berhasil dapet janji jiwa promo tiktok bisa langsung ke cabang kopi janji jiwa terdekat ya guys #kopi #janjijiwa #janjijiwatoast #janjijiwacoffee #ttpetualangnewbie ,35,https://www.tiktok.com/@bangpuzut/video/7483272574948969735,38700,Janji Jiwa,21,Tuesday
6507,indrianairdni,19,4,2025-07-29 00:22:43+00:00,137,False,Samarinda,"Janji Jiwa Culture, Ruko Wahid Hasyim Samarinda",37,"Coffe hopping at @Kopi Janji Jiwa 
#janjijiwasamarinda #janjijiwa #janjijiwatoast #janjijiwacoffee #janjijiwasamarinda #samarinda #samarindakaltim ",19,https://www.tiktok.com/@indrianairdni/video/7532292695209872646,4825,Janji Jiwa,0,Tuesday
23800,akang_jajan,23,14,2025-05-16 00:25:04+00:00,205,False,Bekasi Regency,Kopi Janji Jiwa & Jiwa Toast - District 2 Meikarta,18,"💢JANJI JIWA KASIH PROMO KOPI💢

“Kamu beruntung dapetin voucher promo Dari tag lokasi vidio ini buruan klik jangan sampai hangus “

#promomakangajian #jelajahbegah #vouchertiktok #diskon #tiktokgo #janjijiwa #promojanjijiwa #kopi #coffee #kopijanjijiwa #promotiktok #cikaranghits #cikarangpeople ",20,https://www.tiktok.com/@akang_jajan/video/7504832995224784183,23100,Janji Jiwa,0,Friday
7228,yudawicaks,40,19,2025-07-11 08:45:26+00:00,144,False,Surabaya,Janji Jiwa Culture,57,Janji jiwa paling kalcer di surabaya nih. Tempatnya luas & cocok buat wfc. Gaskan rek #janjijiwasurabaya #coffeeshopsurabaya #cafesurabaya #ttpetualangpro ,18,https://www.tiktok.com/@yudawicaks/video/7525742716223786246,5891,Janji Jiwa,8,Friday
