authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand
7228,yudawicaks,40,19,11/07/2025 15.45,144,False,Surabaya,Janji Jiwa Culture,57,Janji jiwa paling kalcer di surabaya nih. Tempatnya luas & cocok buat wfc. Gaskan rek #janjijiwasurabaya #coffeeshopsurabaya #cafesurabaya #ttpetualangpro ,18,https://www.tiktok.com/@yudawicaks/video/7525742716223786246,5891,Janji Jiwa
12600,bidikanhani,12,3,09/03/2025 14.11,273,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Joglo,40,"Cuma di bulan Ramadan! Promo @Kopi Janji Jiwa via Tiktok besar-besaran buat kamu. Jadi 10rb doang ??

#janjijiwa #janjijiwatoast #janjijiwacoffee #promojanjijiwa #kopijanjijiwa #kopi #toast #coffee #janjijiwatiktok #janjijiwapromo #ustinian #winkofwinner @winkofwinner #JelajahRamadan #TTPetualangNewbie #promoramadhan #infodiskon #promotiktok #promoramadan #jelajahramadhan #jelajahkuliner #diskontiktok #ramadan #takjil #ramadhan #janjiw ",15,https://www.tiktok.com/@bidikanhani/video/7479704012447632646,7498,Janji Jiwa
746,_sheliaaa_,21,3,28/04/2025 10.50,134,False,Wonogiri,Kopi Janji Jiwa & Jiwa Toast - Jendral Sudirman Wonogiri,1,#4u #fyb #xycba #fyppppppppppppppppppppppp #janjijiwacoffee #masukberandafyp ,0,https://www.tiktok.com/@_sheliaaa_/video/7498206320814853383,5616,Janji Jiwa
2322,janjijiwaungaran,0,1,26/09/2024 09.22,13,False,Unknown,Semarang Regency,6,"hello teman sejiwa >< udah pernah cobain kopi dicampur pandan belum? belum? rugii dong ??, sini sini langsung cobain di Janji Jiwa Ungaran ??

??Janji Jiwa Ungaran
? 10.00 sd 22.00 WIB
?? 5 Menit Dari Pintu Tol Ungaran
?? 5 Menit dari Alun Alun Bung Karno 

#UngaranHits #CafeUngaran #CafeHitsSemarang #JanjiJiwa  #JanjiJiwaUngaran #JanjiJiwaSemarang #CafeAesthetic #CafeEstetikSemarang #SemarangExplore #RekomendasiCafeSemarang #RekomendasiCafeUngaran #RekomendasiCafe #Healing #Tenang #Sejuk #fyp ",14,https://www.tiktok.com/@janjijiwaungaran/video/7418771592802585861,1881,Janji Jiwa
2834,magami.id,26,0,29/05/2025 05.00,170,False,Purworejo,Kopi Janji Jiwa & Jiwa Toast - Ruko Mayjen Soetoyo Purworejo,6,Klik tag lokasi di video ini. Lalu pilih minuman yg di inginkan. Lakukan pembayaran. Tukarkan QR codenya ke outlet janji jiwa purworejo #janjijiwa #janjijiwatoast #janjijiwacoffee #promotiktok #purworejo #purworejo24jam #purworejojateng #purworejohits #fyp?? ,18,https://www.tiktok.com/@magami.id/video/7509619818430090552,32500,Janji Jiwa
3926,sukapakebatik,33,16,15/04/2025 16.47,374,False,Semarang Regency,Kopi Janji Jiwa & Jiwa Toast - Ruko Unggaran,29,ngopi berdua cuman 20rb an apa ga diabetes bendino ngopii ??#fyp #fypgakni #fypviral? #viral #viralvideo #promo #janjijiwa #janjijiwatoast #janjijiwacoffee #promobesarbesaran #indonesia #jawatengah #indonesia???? ,12,https://www.tiktok.com/@sukapakebatik/video/7493474172593589522,36300,Janji Jiwa
8965,anandaputri6098,1,20,27/12/2023 14.38,130,False,Morowali Regency,Bahodopi,2,#cewek barista outfit #janjijiwacoffee #fyp ,13,https://www.tiktok.com/@anandaputri6098/video/7317175701466008838,4452,Janji Jiwa
2483,mrdanmrsjulians,0,0,25/07/2025 14.13,8,False,Jakarta,"Kopi Janji Jiwa, Jiwa Toast & Jiwa Tea - Ruko Ciracas",1,"Cuma 20ribuan dapet Toast dan kopi dari Janji jiwa
klik tag lokasi buat dapetin promonya!!
#janjijiwa #janjijiwatoast #janjijiwacoffee #promogajian #promotiktok #tiktokgo #jelajahbegah ",25,https://www.tiktok.com/@mrdanmrsjulians/video/7530914293580041490,367,Janji Jiwa
10700,misspiknik,5,1,17/02/2025 08.11,37,False,Bandung City,Kopi Janji Jiwa & Jiwa Toast - PVJ Bandung,3,"Mulai dari 10ribuan aja udah bisa ngopi enak di @Kopi Janji Jiwa , ini mah ga akan takut dompet bocos sihh, yuk buruan tap lokasi hijau sekarang juga !!

#JelajahRomantis #JelajahBegah #kopijanjijiwa #janjijiwacoffee #eskopikaramel #misspiknik ",20,https://www.tiktok.com/@misspiknik/video/7472189382477253906,7264,Janji Jiwa
30900,mangucup_212,6,1,07/08/2025 17.44,12,False,Cilegon,Kopi Janji Jiwa & Jiwa Toast - Cilegon Center Mall,1,"promo 42% janjijiwa 16 ribuan khusus beli lewat vidio ini paket toast dan kopi  gass langsung di co lewat vidio ini..
#bebasflexingkulineran #promomakangajian #janjijiwa #promomakanliburan #promomakanweekend #promojanjijiwa #janjijiwacilegoncentermall #janjijiwacilegon #promogajian #promotiktokgo #jelajahkuliner #jelajahbegah #jelajahgajian #jelajahmakan #janjijiwatoast #janjijiwacoffee #tiktokgoschoolholidayfest #cilegoncentermall #cilegon #cilegonbanten @Kopi Janji Jiwa ",32,https://www.tiktok.com/@mangucup_212/video/7535792766316547384,372,Janji Jiwa
